id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJV4Ey3IdAjoARdgIjQTFtiBc,The Mystery Spot,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.0172306,-122.00292839999999,Monday: 10:00 AM – 4:00 PM | Tuesday: 10:00 AM – 4:00 PM | Wednesday: 10:00 AM – 4:00 PM | Thursday: 10:00 AM – 4:00 PM | Friday: 10:00 AM – 4:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=1695725318018630262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJe6hluYWP2oAR4p3rOqftdxk,Joshua Tree National Park,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,33.873415,-115.90099229999998,No Opening Hours Data,https://maps.google.com/?cid=1835196675680607714&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
ChIJxeyK9Z3wloAR_gOA7SycJC0,Yosemite National Park,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.8651011,-119.5383294,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=3252896547645424638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
ChIJw____96GhYARCVVwg5cT7c0,Golden Gate Bridge,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.819910899999996,-122.4785598,No Opening Hours Data,https://maps.google.com/?cid=14838537888721818889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bridge tourist attraction historical landmark historical place transportation service point of interest establishment
ChIJa147K9HX3IAR-lwiGIQv9i4,Disneyland Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,33.8120918,-117.91897420000001,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,https://maps.google.com/?cid=3383944414402600186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction amusement park amusement center point of interest establishment
ChIJmRyMs_mAhYARpViaf6JEWNE,Alcatraz Island,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.8269775,-122.42295550000001,No Opening Hours Data,https://maps.google.com/?cid=15084882416593688741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical place tourist attraction point of interest establishment
ChIJm6deTdekwoARTY_RzhoRms0,Santa Monica Pier,4.6,PRICE_LEVEL_FREE,Outdoor,34.008282099999995,-118.4987585,Monday: 6:00 AM – 10:00 PM | Tuesday: 6:00 AM – 10:00 PM | Wednesday: 6:00 AM – 10:00 PM | Thursday: 6:00 AM – 10:00 PM | Friday: 6:00 AM – 10:00 PM | Saturday: 6:00 AM – 10:00 PM | Sunday: 6:00 AM – 10:00 PM,https://maps.google.com/?cid=14815172731025329997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,fishing pier tourist attraction visitor center tourist information center historical landmark historical place tour agency travel agency point of interest service establishment
ChIJZeXhi9XX3IARYcIA6Qfcj2o,Disney California Adventure Park,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,33.806223599999996,-117.91992809999999,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,https://maps.google.com/?cid=7678597816222007905&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction amusement park amusement center point of interest establishment
ChIJR4qudndLx4ARVLDye3zwycw,Death Valley National Park,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,36.505389099999995,-117.0794078,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=14756590071502254164&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
ChIJrWJnvbSRhYAR-a__aHZY_3o,Muir Woods National Monument,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.8970199,-122.58111769999998,Monday: 8:00 AM – 6:30 PM | Tuesday: 8:00 AM – 6:30 PM | Wednesday: 8:00 AM – 6:30 PM | Thursday: 8:00 AM – 6:30 PM | Friday: 8:00 AM – 6:30 PM | Saturday: 8:00 AM – 6:30 PM | Sunday: 8:00 AM – 6:30 PM,https://maps.google.com/?cid=8862899857279397881&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,nature preserve tourist attraction park point of interest establishment
