id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJZ4ThickxMTARvvjDDIvvrcw,Tjong A Fie Mansion,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5855183999999998,98.6805521,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,https://maps.google.com/?cid=14748707735201904830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction museum historical place point of interest establishment
ChIJ1dAecNAxMTARgTc1MDi9n3g,Rahmat International Wildlife Museum & Gallery,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5792091,98.66760939999999,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,https://maps.google.com/?cid=8691873854872958849&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
ChIJta-890swMTARJJlPBPxIySM,Sri Deli Park,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5764562,98.6866142,No Opening Hours Data,https://maps.google.com/?cid=2578672508887603492&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJz_41qy0wMTARGhpYhUhdZAE,Vihara Gunung Timur,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5780597,98.6689928,Monday: 8:00 AM – 4:00 PM | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,https://maps.google.com/?cid=100307657765165594&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,buddhist temple tourist attraction place of worship association or organization point of interest establishment
ChIJaexxOdQxMTARt3BU1MPMyK0,Mariamman Temple,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5839019999999997,98.671177,"Monday: 6:00 AM – 12:00 PM, 4:00 – 8:00 PM | Tuesday: 6:00 AM – 12:00 PM, 4:00 – 8:00 PM | Wednesday: 6:00 AM – 12:00 PM, 4:00 – 8:00 PM | Thursday: 6:00 AM – 12:00 PM, 4:00 – 8:00 PM | Friday: 6:00 AM – 12:00 PM, 4:00 – 8:00 PM | Saturday: 6:00 AM – 12:00 PM, 4:00 – 8:00 PM | Sunday: 6:00 AM – 12:00 PM, 4:00 – 8:00 PM",https://maps.google.com/?cid=12522483905356656823&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,hindu temple tourist attraction place of worship association or organization point of interest establishment
ChIJt8Ujpc0xMTARYJ0-hHkWeJ4,Museum Perjuangan TNI,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5837488999999993,98.6741919,Monday: 8:00 AM – 2:30 PM | Tuesday: 8:00 AM – 2:30 PM | Wednesday: 8:00 AM – 2:30 PM | Thursday: 8:00 AM – 2:30 PM | Friday: 8:00 AM – 2:30 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=11418901566363442528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
ChIJScVUPJUxMTAR5KLhMri4djE,Monumen Guru Patimpus Sembiring Pelawi,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5914348000000005,98.67108859999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=3564239256377467620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJFf2orIYxMTARFJF-loUJuds,Little India Gate ( குட்டி இந்தியா நுழைவாயில்/Gerbang India Kecil),4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5837003999999992,98.67110699999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=15832696434357866772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJn79-5S4wMTARvQWiTTzKq-s,Kampoeng Selfie (Kongsi),4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5732505,98.66771430000001,Monday: 9:00 AM – 8:00 PM | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: 9:00 AM – 8:00 PM | Saturday: 9:00 AM – 8:00 PM | Sunday: Closed,https://maps.google.com/?cid=16981889180279899581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJQYxHrfsxMTARrnQL5fqgWpo,Pos Bloc Medan,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,3.5917195,98.6773468,No Opening Hours Data,https://maps.google.com/?cid=11122379229189862574&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
