id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJHSGzi_yAhYARnrPmDWAx9ro,PIER 39,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.808673000000006,-122.409821,No Opening Hours Data,https://maps.google.com/?cid=13472009623945261982&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction fishing pier historical landmark shopping mall marina historical place point of interest service establishment
ChIJmRyMs_mAhYARpViaf6JEWNE,Alcatraz Island,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.8269775,-122.42295550000001,No Opening Hours Data,https://maps.google.com/?cid=15084882416593688741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical place tourist attraction point of interest establishment
ChIJAQAAQIyAhYARRN3yIQG4hd4,Coit Tower,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.802394899999996,-122.40582219999999,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=16034424363326561604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark landmark tourist attraction historical place point of interest establishment
ChIJY_dFYHKHhYARMKc772iLvnE,Golden Gate Park,4.8,PRICE_LEVEL_FREE,Outdoor,37.7689203,-122.482977,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=8196141654667405104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park garden tourist attraction point of interest establishment
ChIJw____96GhYARCVVwg5cT7c0,Golden Gate Bridge,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.819910899999996,-122.4785598,No Opening Hours Data,https://maps.google.com/?cid=14838537888721818889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bridge historical landmark tourist attraction historical place transportation service point of interest establishment
ChIJW5D3LYmAhYARb92CmHj1bOM,Union Square,4.4,PRICE_LEVEL_FREE,Outdoor,37.7879358,-122.40751389999998,No Opening Hours Data,https://maps.google.com/?cid=16387743042397986159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark plaza tourist attraction park historical place point of interest establishment
ChIJI7NivpmAhYARSuRPlbbn_2w,de Young Museum,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.771468999999996,-122.46867549999997,Monday: Closed | Tuesday: 9:30 AM – 5:15 PM | Wednesday: 9:30 AM – 5:15 PM | Thursday: 9:30 AM – 5:15 PM | Friday: 9:30 AM – 5:15 PM | Saturday: 9:30 AM – 5:15 PM | Sunday: 9:30 AM – 5:15 PM,https://maps.google.com/?cid=7854251046532539466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,art museum tourist attraction museum point of interest establishment
ChIJ7bPtqOGAhYARlc1YRlOfGrc,San Francisco Maritime National Historical Park,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.806436999999995,-122.4239199,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=13194033238346616213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical place tourist attraction museum point of interest establishment
ChIJ53I1Yn2AhYAR_Vl1vNygfMg,San Francisco Museum of Modern Art,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.7857182,-122.40105080000001,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: Closed | Thursday: 12:00 – 8:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=14446598574612765181&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,art gallery art museum tourist attraction museum point of interest establishment
ChIJW5w2V2iHhYARQoOl_ZsQlOg,San Francisco Botanical Garden,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,37.767709599999996,-122.4693109,Monday: 7:30 AM – 7:00 PM | Tuesday: 7:30 AM – 7:00 PM | Wednesday: 7:30 AM – 7:00 PM | Thursday: 7:30 AM – 7:00 PM | Friday: 7:30 AM – 7:00 PM | Saturday: 7:30 AM – 7:00 PM | Sunday: 7:30 AM – 7:00 PM,https://maps.google.com/?cid=16759038375513916226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden garden tourist attraction museum park point of interest establishment
