id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJK8_C0JNXei4RE74coPghaic,Taman Sari Tourist Village,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8100463,110.3591999,Monday: 9:00 AM – 3:00 PM | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,https://maps.google.com/?cid=2840119866732363283&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place point of interest establishment
ChIJ78cG25ZXei4RbCcrBc9xUjk,Keraton Ngayogyakarta Hadiningrat,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.805369799999999,110.3643518,Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,https://maps.google.com/?cid=4130488942211049324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place point of interest establishment
ChIJz-6zwIhXei4R-J8qI-AcYbk,Vredeburg Fort Museum,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.800293000000001,110.3661642,Monday: Closed | Tuesday: 8:00 AM – 7:30 PM | Wednesday: 8:00 AM – 7:30 PM | Thursday: 8:00 AM – 7:30 PM | Friday: 8:00 AM – 8:30 PM | Saturday: 8:00 AM – 8:30 PM | Sunday: 8:00 AM – 8:30 PM,https://maps.google.com/?cid=13357989718745849848&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,history museum tourist attraction museum service point of interest establishment
ChIJCVctJlxXei4R7ISL-04yGvE,Yogyakarta Royal Palace,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.806958700000001,110.3639266,Monday: Closed | Tuesday: 8:30 AM – 2:30 PM | Wednesday: 8:30 AM – 2:30 PM | Thursday: 8:30 AM – 2:30 PM | Friday: 8:30 AM – 2:30 PM | Saturday: 8:30 AM – 2:30 PM | Sunday: 8:30 AM – 2:30 PM,https://maps.google.com/?cid=17373253827344172268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction museum point of interest establishment
ChIJl5MfmllXei4RD-EMKO4ov-s,Titik Nol Kilometer Yogyakarta,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8013965999999995,110.36476409999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=16987341322804060431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction sports activity location point of interest establishment
ChIJ8TjDGYhXei4Rts_Mftk6qnI,Tourism Zone Malioboro,4.7,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.798225899999999,110.36524229999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=8262481172174262198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJr7kvD4ZXei4R2C22dHAA9qk,Taman Pintar Yogyakarta,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8007921,110.3673424,Monday: 8:30 AM – 4:00 PM | Tuesday: 8:30 AM – 4:00 PM | Wednesday: 8:30 AM – 4:00 PM | Thursday: 8:30 AM – 4:00 PM | Friday: 8:30 AM – 4:00 PM | Saturday: 8:30 AM – 4:00 PM | Sunday: 8:30 AM – 4:00 PM,https://maps.google.com/?cid=12246976719675076056&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction playground museum sports activity location educational institution point of interest establishment
ChIJTwoHg49Xei4R7sU-xBpDEJ0,Museum Sonobudoyo Unit I,4.8,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.802256999999999,110.3639441,Monday: Closed | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,https://maps.google.com/?cid=11317619645822715374&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,art museum tourist attraction museum point of interest establishment
ChIJE6GNt71Xei4R4XqZ6m7rM0g,Kampoeng Cyber,4.6,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8098918,110.35831259999999,Monday: 9:00 AM – 3:00 PM | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 AM | Saturday: 9:00 AM – 3:00 AM | Sunday: Closed,https://maps.google.com/?cid=5202760856157911777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJn6dREoZXei4R3nSzL886d3E,DINO Adventure,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,-7.8005968999999995,110.3676789,Monday: Closed | Tuesday: 9:30 AM – 3:00 PM | Wednesday: 9:30 AM – 3:00 PM | Thursday: 9:30 AM – 3:00 PM | Friday: 9:30 AM – 3:00 PM | Saturday: 9:30 AM – 3:00 PM | Sunday: 9:30 AM – 3:00 PM,https://maps.google.com/?cid=8176068310047356126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
