id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text
ChIJUQ6szaIZ2jERKRSQdVyu-RE,Dhoby Ghaut Green,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2978661999999999,103.84528829999999,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=1295258079978329129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,park tourist attraction point of interest establishment
ChIJGeWzwMUZ2jERUmSzZCF_59M,Istana Park,4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,1.2992392,103.8438178,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=15269312843023082578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,city park tourist attraction park point of interest establishment
ChIJZYb8XRjCSjARxD5Df-qEkCw,Kek Lok Si Temple,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.3996413,100.27361259999999,Monday: 8:30 AM – 5:30 PM | Tuesday: 8:30 AM – 5:30 PM | Wednesday: 8:30 AM – 5:30 PM | Thursday: 8:30 AM – 5:30 PM | Friday: 8:30 AM – 5:30 PM | Saturday: 8:30 AM – 5:30 PM | Sunday: 8:30 AM – 5:30 PM,https://maps.google.com/?cid=3211212677007490756&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,buddhist temple tourist attraction place of worship association or organization point of interest establishment
ChIJESJTC43DSjARiVDKy9hsY74,Clan Jetties of Penang,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4128345,100.3396559,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=13718928568288432265&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,historical landmark tourist attraction historical place point of interest establishment
ChIJ-8pjzpXDSjARhqQbf7o4ang,"The TOP Penang, Theme Park Penang",4.3,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4144543999999994,100.32954959999999,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 7:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,https://maps.google.com/?cid=8676810005730272390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bridge aquarium tourist attraction amusement center lounge bar night club museum amusement park event venue spa bar transportation service restaurant association or organization food point of interest establishment
ChIJ83gcpVjoSjARH4vjVeRjzHg,Entopia by Penang Butterfly Farm,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4476214999999995,100.21499430000001,"Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM, 7:00 – 9:00 PM | Friday: 9:00 AM – 5:00 PM, 7:00 – 9:00 PM | Saturday: 9:00 AM – 5:00 PM, 7:00 – 9:00 PM | Sunday: 9:00 AM – 5:00 PM, 7:00 – 9:00 PM",https://maps.google.com/?cid=8704442012144995103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction garden point of interest establishment
ChIJ50W1D43DSjARlPqYV1MqscE,Chew Jetty,4.1,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.412717499999999,100.3397723,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=13956983257638173332&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment
ChIJny-BJpLDSjARtmEDgFcyASw,Leong San Tong Khoo Kongsi,4.4,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4145737,100.33718999999999,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,https://maps.google.com/?cid=3170870964036788662&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction museum point of interest establishment
ChIJCWvz3I_DSjAR5hveCXjdfIs,Pinang Peranakan Mansion,4.5,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.4178275,100.3412046,Monday: 9:30 AM – 5:30 PM | Tuesday: 9:30 AM – 5:30 PM | Wednesday: 9:30 AM – 5:30 PM | Thursday: 9:30 AM – 5:30 PM | Friday: 9:30 AM – 5:30 PM | Saturday: 9:30 AM – 5:30 PM | Sunday: 9:30 AM – 5:30 PM,https://maps.google.com/?cid=10051151976015469542&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum tourist attraction point of interest establishment
ChIJ7SWWEM3rSjARwSe9fzEzj-Q,Penang National Park,4.2,PRICE_LEVEL_UNSPECIFIED,Outdoor,5.447142299999999,100.19399229999999,Monday: 8:00 AM – 4:30 PM | Tuesday: 8:00 AM – 4:30 PM | Wednesday: 8:00 AM – 4:30 PM | Thursday: 8:00 AM – 4:30 PM | Friday: 8:00 AM – 4:30 PM | Saturday: 8:00 AM – 4:30 PM | Sunday: 8:00 AM – 4:30 PM,https://maps.google.com/?cid=16469438650006710209&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,national park tourist attraction park point of interest establishment
